,fluxes,equ,ec-code,kcat_MW,E
EX_h2o_e,26.786213405921547,,,,
EX_o2_e,-8.020994613175988,,,,
EX_pi_e,0.0,,,,
EX_co2_e,9.249962288425714,,,,
EX_ppi_e,4.943282885167186,,,,
EX_nh4_e,0.0,,,,
EX_amp_e,0.0,,,,
EX_pyr_e,0.0,,,,
EX_glu__L_e,0.0,,,,
EX_akg_e,0.0,,,,
EX_pheme_e,0.0,,,,
EX_ac_e,4.4419371617025565,,,,
EX_mn2_e,0.0,,,,
EX_gly_e,0.0,,,,
EX_zn2_e,0.0,,,,
EX_ala__L_e,0.0,,,,
EX_succ_e,0.0,,,,
EX_lys__L_e,0.0,,,,
EX_glx_e,0.0,,,,
EX_asp__L_e,0.0,,,,
EX_cmp_e,0.0,,,,
EX_for_e,0.0,,,,
EX_so4_e,0.0,,,,
EX_arg__L_e,0.0,,,,
EX_gln__L_e,0.0,,,,
EX_ser__L_e,0.0,,,,
EX_cu2_e,0.0,,,,
EX_met__L_e,0.0,,,,
EX_pep_e,0.0,,,,
EX_ca2_e,0.0,,,,
EX_orn_e,0.0,,,,
EX_trp__L_e,0.0,,,,
EX_h_e,0.0,,,,
EX_tyr__L_e,0.0,,,,
EX_urea_e,0.0,,,,
EX_no2_e,0.0,,,,
EX_sucr_e,0.0,,,,
EX_glyc3p_e,0.0,,,,
EX_fru_e,0.0,,,,
EX_cys__L_e,0.0,,,,
EX_ala_B_e,0.0,,,,
EX_g1p_e,0.0,,,,
EX_ump_e,0.0,,,,
EX_ura_e,0.0,,,,
EX_chol_e,0.0,,,,
EX_glyc_e,0.0,,,,
EX_btn_e,0.0,,,,
EX_rib__D_e,0.0,,,,
EX_fum_e,0.0,,,,
EX_leu__L_e,0.0,,,,
EX_gal_e,0.0,,,,
EX_ala__D_e,0.0,,,,
EX_his__L_e,0.0,,,,
EX_inost_e,0.0,,,,
EX_acgam_e,0.0,,,,
EX_gmp_e,0.0,,,,
EX_ade_e,0.0,,,,
EX_pro__L_e,0.0,,,,
EX_mal__L_e,0.0,,,,
EX_asn__L_e,0.0,,,,
EX_cit_e,0.0,,,,
EX_man_e,0.0,,,,
EX_glyclt_e,0.0,,,,
EX_prpnte_e,0.0,,,,
EX_acac_e,0.0,,,,
EX_cbp_e,0.0,,,,
EX_cobalt2_e,0.0,,,,
EX_xyl__D_e,0.0,,,,
EX_glycogen_e,0.0,,,,
EX_val__L_e,0.0,,,,
EX_dha_e,0.0,,,,
EX_cellb_e,0.0,,,,
EX_lac__L_e,0.0,,,,
EX_thr__L_e,0.0,,,,
EX_etha_e,0.0,,,,
EX_glcur_e,0.0,,,,
EX_3pg_e,0.0,,,,
EX_2ddglcn_e,0.0,,,,
EX_malt_e,0.0,,,,
EX_adn_e,0.0,,,,
EX_thymd_e,0.0,,,,
EX_arab__D_e,0.0,,,,
EX_glu__D_e,0.0,,,,
EX_k_e,0.0,,,,
EX_gua_e,0.0,,,,
EX_lcts_e,0.0,,,,
EX_no3_e,0.0,,,,
EX_taur_e,0.0,,,,
EX_srb__L_e,0.0,,,,
EX_chor_e,0.0,,,,
EX_nac_e,0.0,,,,
EX_ribflv_e,0.0,,,,
EX_glcn_e,0.0,,,,
EX_arab__L_e,0.0,,,,
EX_hxan_e,0.0,,,,
EX_glc__D_e,0.0,,,,
EX_acnam_e,0.0,,,,
EX_man6p_e,0.0,,,,
EX_h2s_e,0.0,,,,
EX_ni2_e,0.0,,,,
EX_ins_e,0.0,,,,
EX_uri_e,0.0,,,,
EX_mg2_e,0.0,,,,
EX_citr__L_e,0.0,,,,
EX_gam_e,0.0,,,,
EX_galur_e,0.0,,,,
EX_4abut_e,0.0,,,,
EX_6pgc_e,0.0,,,,
EX_ethamp_e,0.0,,,,
EX_gam6p_e,0.0,,,,
EX_dtmp_e,0.0,,,,
EX_urate_e,0.0,,,,
EX_thm_e,0.0,,,,
EX_csn_e,0.0,,,,
EX_xan_e,0.0,,,,
EX_gsn_e,0.0,,,,
EX_mnl_e,0.0,,,,
EX_ile__L_e,0.0,,,,
EX_etoh_e,2.200083505260207,,,,
EX_cytd_e,0.0,,,,
EX_crn_e,0.0,,,,
EX_cysi__L_e,0.0,,,,
EX_raffin_e,0.0,,,,
EX_mal__D_e,0.0,,,,
EX_fol_e,0.0,,,,
