,biomass,glucose,ATP produced per flux of glucose,Enzyme required per flux of glucose,Enzyme cost of energy,Oxidative phosphorylation ratio
1.0,0.08221880745728373,1.0,11.694991995979906,0.008748954085179927,0.07480940635262799,2.55648772793017
1.5,0.1230410620896284,1.5,11.672418829925745,0.008748049538466467,0.07494633002748513,2.56450536985906
2.0,0.16386331672197307,2.0,11.661132246898694,0.00874759726510972,0.0750149906535548,2.5685141908234854
2.5,0.20462600405411613,2.5,11.645856766505569,0.008748177574265029,0.07511836827175737,2.571917409475737
3.0,0.24224511516052938,3.0,11.293830198701869,0.0090477627063468,0.08011243791664908,2.6180729498837896
3.5,0.27946005048036326,3.5,11.176314679944184,0.009006906078503883,0.08058923121292129,2.6558777099323403
4.0,0.3166698730399848,4.0,11.08987058490796,0.008973093344566047,0.08091251629912974,2.6842848135005455
4.5,0.3538796955996067,4.5,11.022636288768844,0.008946794551503346,0.08116746590486154,2.7063792273868112
5.0,0.3910895181592281,5.0,10.968848851857592,0.008925755517053196,0.08137367592171357,2.724054758495792
5.5,0.42829934071884973,5.5,10.924840948930104,0.008908541761593952,0.08154390350613193,2.738516556675945
6.0,0.46550916327848046,6.0,10.888167696490752,0.008894196965378012,0.08168681097963439,2.7505680551593508
6.5,0.5027189858381005,6.5,10.857136482888004,0.008882059060887494,0.08180848674866122,2.7607654769530203
7.0,0.5390946531365757,7.0,10.815354595555748,0.00890693269439885,0.0823545138137116,2.774497029340169
7.5,0.5745947797104483,7.5,10.819044646670221,0.008810272832306568,0.08143300189650393,2.7912869952888886
8.0,0.6074233724502036,8.0,11.49990228246672,0.007489579364914931,0.06512733048465888,2.819964461201521
8.5,0.6187721678198956,8.5,11.322513407207612,0.006928530640379227,0.06119251434022332,2.6608769207594896
9.0,0.6200395555966819,9.0,10.822629834198871,0.006547271355274347,0.060496122066240825,2.4058487256807632
9.5,0.6213069433734567,9.5,10.375365584664587,0.006206144626496182,0.05981615371384346,2.1776656037681423
10.0,0.6225743311502168,10.0,9.972827760083524,0.005899130570595677,0.05915203503470786,1.9723007940466772
