,kcat,MW,kcat_MW
PPAm_num1,0.013999999999999999,33988.413100000034,1.4828582861963608
ALPHNH,15.27,526804.0358000001,104.34999784411293
CAT_num1,157615.0,62362.88000000013,9098585.568851197
PDHam1hi_num1,121.0,77021.76670000005,5655.544122957644
GLMS_syn_num1,70.335,223631.92460000003,1132.2444255349396
HXAD,6.42,70579.58220000027,327.4601418652194
R00026_num1,25.360565217391304,53288.2994,1713.2848263235944
MALTly,207.29066666666668,63968.44320000018,11665.852140043917
PPBNGS,254.4625,36209.05750000002,25299.332908623754
RBFSb,1.073,23480.702200000018,164.50956053605572
HMBS,0.25,34837.956000000035,25.83389220653471
ADNCYC,5527.248266852328,22237.80730000001,894786.6798300913
NADK_num1,4.166666666666667,30011.96760000004,499.80061953685373
GLUSy_num1,23.6,223631.92460000003,379.90997999039706
ADK1m,999.0,24119.141800000005,149109.78300231227
DPCOAK,7.0812333333333335,22013.184000000005,1158.053282978055
UREA,3186.4445,86284.88200000017,132945.65553210097
HCO3E_num1,2907913.6363636362,21111.156100000007,495874742.3078874
NMNAT,14.133333333333333,22156.22500000001,2296.420080586832
NDPK2,194.85327777777775,16958.411799999994,41364.23907337833
FMNAT,0.4,35661.464600000014,40.37972125239073
METAT,0.976349785,44042.264200000056,79.80650608784994
ADMDC,75.4793545,13872.554799999984,19587.28439840081
NTD7_num1,7.110571428571428,159703.77129999976,160.28461278332492
NADS1n,0.31666666666666665,30394.835400000033,37.5063718884294
ADPT,6.095363636363636,18874.6917,1162.5784113289167
AHCYSNS,5.436648666666668,25264.3254,774.6866338255762
PPS,429.1593125,97190.77100000068,15896.298682515742
PYK,2516.381395900537,62173.11510000026,145705.63193868176
MALDDH,103.98120746153845,38727.58720000003,9665.78023382614
ME2,177.70632352941178,43666.682000000095,14650.592520537304
SERD_L,311.5,54754.35679999999,20480.56201438203
SERD_D,17.532333333333334,49731.3579,1269.1469259076875
PTAr,366.3721052631579,34790.2476,37911.18689673737
ACS_num1,827.4769230769231,59324.20820000008,50214.18765563769
ACACT1x_num1,80.0,38398.33310000002,7500.325580539325
GLUDxi_num1,203.18571428571425,47339.64710000002,15451.50030128913
r0074_num1,5.998181818181817,56319.34310000006,383.41098025794486
GLNS,127.194,50277.662700000066,9107.392337074558
GLUNpp_num1,42.58533334,34012.022700000016,4507.441423764542
ACGS,2.1999998,79428.0,99.712938510349
