,fluxes,equ,ec-code,kcat_MW,E
EX_h2o_e,15.448410226302654,h2o_e --> ,,,
EX_o2_e,-9.648627410767293,o2_e <-- ,,,
EX_pi_e,0.0,pi_e --> ,,,
EX_co2_e,10.050633382246396,co2_e --> ,,,
EX_ppi_e,1.3655675398086484,ppi_e --> ,,,
EX_nh4_e,0.0,nh4_e --> ,,,
EX_amp_e,0.0,amp_e --> ,,,
EX_pyr_e,0.0,pyr_e --> ,,,
EX_glu__L_e,0.0,glu__L_e --> ,,,
EX_akg_e,0.0,akg_e --> ,,,
EX_pheme_e,0.0,pheme_e --> ,,,
EX_ac_e,8.878093713506257,ac_e --> ,,,
EX_mn2_e,0.0,mn2_e --> ,,,
EX_gly_e,0.0,gly_e --> ,,,
EX_zn2_e,0.0,zn2_e --> ,,,
EX_ala__L_e,0.0,ala__L_e --> ,,,
EX_succ_e,0.0,succ_e --> ,,,
EX_lys__L_e,0.0,lys__L_e --> ,,,
EX_glx_e,0.0,glx_e --> ,,,
EX_asp__L_e,0.0,asp__L_e --> ,,,
EX_cmp_e,0.0,cmp_e --> ,,,
EX_for_e,0.12183310258365385,for_e --> ,,,
EX_so4_e,0.0,so4_e --> ,,,
EX_arg__L_e,0.0,arg__L_e --> ,,,
EX_gln__L_e,0.0,gln__L_e --> ,,,
EX_ser__L_e,0.0,ser__L_e --> ,,,
EX_cu2_e,0.0,cu2_e --> ,,,
EX_met__L_e,0.0,met__L_e --> ,,,
EX_pep_e,0.0,pep_e --> ,,,
EX_ca2_e,0.0,ca2_e --> ,,,
EX_orn_e,0.0,orn_e --> ,,,
EX_trp__L_e,0.0,trp__L_e --> ,,,
EX_h_e,0.0,h_e --> ,,,
EX_tyr__L_e,0.0,tyr__L_e --> ,,,
EX_urea_e,0.0,urea_e --> ,,,
EX_no2_e,0.0,no2_e --> ,,,
EX_sucr_e,0.0,sucr_e --> ,,,
EX_glyc3p_e,0.0,glyc3p_e --> ,,,
EX_fru_e,0.0,fru_e --> ,,,
EX_cys__L_e,0.0,cys__L_e --> ,,,
EX_ala_B_e,0.0,ala_B_e --> ,,,
EX_g1p_e,0.0,g1p_e --> ,,,
EX_ump_e,0.0,ump_e --> ,,,
EX_ura_e,0.0,ura_e --> ,,,
EX_chol_e,0.0,chol_e --> ,,,
EX_glyc_e,0.0,glyc_e --> ,,,
EX_btn_e,0.0,btn_e --> ,,,
EX_rib__D_e,0.0,rib__D_e --> ,,,
EX_fum_e,0.0,fum_e --> ,,,
EX_leu__L_e,0.0,leu__L_e --> ,,,
EX_gal_e,0.0,gal_e --> ,,,
EX_ala__D_e,0.0,ala__D_e --> ,,,
EX_his__L_e,0.0,his__L_e --> ,,,
EX_inost_e,0.0,inost_e --> ,,,
EX_acgam_e,0.0,acgam_e --> ,,,
EX_gmp_e,0.0,gmp_e --> ,,,
EX_ade_e,0.0,ade_e --> ,,,
EX_pro__L_e,0.0,pro__L_e --> ,,,
EX_mal__L_e,0.0,mal__L_e --> ,,,
EX_asn__L_e,0.0,asn__L_e --> ,,,
EX_cit_e,0.0,cit_e --> ,,,
EX_man_e,0.0,man_e --> ,,,
EX_glyclt_e,0.0,glyclt_e --> ,,,
EX_prpnte_e,0.0,prpnte_e --> ,,,
EX_acac_e,0.0,acac_e --> ,,,
EX_cbp_e,0.0,cbp_e --> ,,,
EX_cobalt2_e,0.0,cobalt2_e --> ,,,
EX_xyl__D_e,0.0,xyl__D_e --> ,,,
EX_glycogen_e,0.0,glycogen_e --> ,,,
EX_val__L_e,0.0,val__L_e --> ,,,
EX_dha_e,0.0,dha_e --> ,,,
EX_cellb_e,0.0,cellb_e --> ,,,
EX_lac__L_e,0.0,lac__L_e --> ,,,
EX_thr__L_e,0.0,thr__L_e --> ,,,
EX_etha_e,0.0,etha_e --> ,,,
EX_glcur_e,0.0,glcur_e --> ,,,
EX_3pg_e,0.0,3pg_e --> ,,,
EX_2ddglcn_e,0.0,2ddglcn_e --> ,,,
EX_malt_e,0.0,malt_e --> ,,,
EX_adn_e,0.0,adn_e --> ,,,
EX_thymd_e,0.0,thymd_e --> ,,,
EX_arab__D_e,0.0,arab__D_e --> ,,,
EX_glu__D_e,0.0,glu__D_e --> ,,,
EX_k_e,0.0,k_e --> ,,,
EX_gua_e,0.0,gua_e --> ,,,
EX_lcts_e,0.0,lcts_e --> ,,,
EX_no3_e,0.0,no3_e --> ,,,
EX_taur_e,0.0,taur_e --> ,,,
EX_srb__L_e,0.0,srb__L_e --> ,,,
EX_chor_e,0.0,chor_e --> ,,,
EX_nac_e,0.0,nac_e --> ,,,
EX_ribflv_e,0.0,ribflv_e --> ,,,
EX_glcn_e,0.0,glcn_e --> ,,,
EX_arab__L_e,0.0,arab__L_e --> ,,,
EX_hxan_e,0.0,hxan_e --> ,,,
EX_glc__D_e,-5.850914562109025,glc__D_e <-- ,,,
EX_acnam_e,0.0,acnam_e --> ,,,
EX_man6p_e,0.0,man6p_e --> ,,,
EX_h2s_e,0.0,h2s_e --> ,,,
EX_ni2_e,0.0,ni2_e --> ,,,
EX_ins_e,0.0,ins_e --> ,,,
EX_uri_e,0.0,uri_e --> ,,,
EX_mg2_e,0.0,mg2_e --> ,,,
EX_citr__L_e,0.0,citr__L_e --> ,,,
EX_gam_e,0.0,gam_e --> ,,,
EX_galur_e,0.0,galur_e --> ,,,
EX_4abut_e,0.0,4abut_e --> ,,,
EX_6pgc_e,0.0,6pgc_e --> ,,,
EX_ethamp_e,0.0,ethamp_e --> ,,,
EX_gam6p_e,0.0,gam6p_e --> ,,,
EX_dtmp_e,0.0,dtmp_e --> ,,,
EX_urate_e,0.0,urate_e --> ,,,
EX_thm_e,0.0,thm_e --> ,,,
EX_csn_e,0.0,csn_e --> ,,,
EX_xan_e,0.0,xan_e --> ,,,
EX_gsn_e,0.0,gsn_e --> ,,,
EX_mnl_e,0.0,mnl_e --> ,,,
EX_ile__L_e,0.0,ile__L_e --> ,,,
EX_etoh_e,0.0,etoh_e --> ,,,
EX_cytd_e,0.0,cytd_e --> ,,,
EX_crn_e,0.0,crn_e --> ,,,
EX_cysi__L_e,0.0,cysi__L_e --> ,,,
