,biomass_ecGEM,acetate_ecGEM,O2_ecGEM,CO2_ecGEM,glucose_ecGEM,biomass_GEM,acetate_GEM,O2_GEM,CO2_GEM,glucose_GEM
1.0,0.06281977216435446,0.0,3.3689657026587723,3.5255656835922324,1.0,0.06332490224549352,0.0,3.347807990394367,3.5056672804963016,1.0
1.5,0.1036420332295217,0.0,4.659233886193906,4.917597610249729,1.5,0.10478763178510324,0.0,4.611253590601865,4.872473116496609,1.5
2.0,0.1444643300583618,0.0,5.949502445766193,6.309629907029418,2.0,0.14625036378640321,0.0,5.874699255947937,6.239279025901753,2.0
2.5,0.18394338656400833,0.0,7.296028991562117,7.754571697520698,2.5,0.18771309578770326,0.0,7.138144921294019,7.606084935306919,2.5
3.0,0.22147310329874997,0.0,8.724198358886868,9.276296903883019,3.0,0.22917582778900314,0.0,8.40159058664009,8.97289084471207,3.0
3.5,0.25868292547429794,0.0,10.165765644211355,10.810622580076192,3.5,0.2706385597903037,0.0,9.665036251986194,10.339696754117266,3.5
4.0,0.2958927476498443,0.0,11.607332929535941,12.34494825626946,4.0,0.31210129179160195,0.0,10.92848191733226,11.706502663522377,4.0
4.5,0.3331025698253933,0.0,13.048900214860657,13.87927393246291,4.5,0.35356402379290297,0.0,12.191927582678332,13.073308572927548,4.5
5.0,0.3703123920009393,0.0,14.49046750018538,15.413599608656321,5.0,0.39502675579420354,0.0,13.455373248024419,14.440114482332735,5.0
5.5,0.40752221417648754,0.0,15.932034785509389,16.94792528484893,5.5,0.43648948779550345,0.0,14.718818913370503,15.806920391737902,5.5
6.0,0.44473203635203246,0.0,17.37360207083436,18.48225096104265,6.0,0.47795221979680325,0.0,15.982264578716562,17.173726301143002,6.0
6.5,0.4819418585275811,0.0,18.815169356158833,20.016576637235826,6.5,0.5194149517981019,0.0,17.24571024406266,18.540532210548182,6.5
7.0,0.5184713883630547,0.0,20.28522884532412,21.577698652600215,7.0,0.5608776837994025,0.0,18.509155909408722,19.90733811995333,7.0
7.5,0.5543272817903476,0.0,21.783501772633954,23.16535483365913,7.5,0.6023404158007024,0.0,19.772601574754795,21.274144029358474,7.5
8.0,0.5872738747702914,0.0,23.403622876819806,24.867606750913865,8.0,0.6438031478020029,0.0,21.03604724010089,22.640949938763658,8.0
8.5,0.602996038586607,0.9649189696282662,23.815304649180185,25.318481471031234,8.5,0.6852658798033019,0.0,22.29949290544695,24.007755848168756,8.5
9.0,0.6042634263633723,2.9207860635092957,22.850489353850005,24.35682557942583,9.0,0.7267286118046044,0.0,23.562938570793047,25.374561757574014,9.0
9.5,0.6055308141401569,4.876653157389216,21.885674058521186,23.395169687821816,9.5,0.7681913438059021,0.0,24.82638423613916,26.74136766697917,9.5
10.0,0.6067982019169273,6.83252025127,20.9208587631913,22.433513796216722,10.0,0.8096540758072038,0.0,26.089829901485185,28.10817357638431,10.0
