gene_id	abundance
A0A085C757	5.79
A0A085CBU9	157
A0A085CCK6	10.6
A0A0A1M2W5	104
A0A0A1M4L5	66.9
A0A0A1M9S8	0.171
A0A0A1MD42	3.24
A0A0A1MDH6	12.8
A0A0A1MDJ5	3.74
A0A0A1MG45	0.119
A0A0C2Q1A1	0.494
A0A0C2QMY2	0.131
A0A0C2UBP3	679
A0A0C3JCX8	10.8
A0A0D1ILZ5	0.243
A0A0D1JDI8	4.04
A0A0D1JFS4	7.85
A0A0D1KQB0	171
A0A0D1KQF9	2.77
A0A0D1L017	18.4
A0A0D1L4M2	3.28
C0H3Q1	120
C0H3Q6	45.2
C0H3Q8	3.74
C0H3R3	197
C0H3R4	19.2
C0H3R7	7.91
C0H3T2	0.91
C0H3T3	51.6
C0H3U9	1.49
C0H3V2	58
C0H3V3	0.937
C0H3V7	3.1
C0H3V8	4.44
C0H3X9	6.5
C0H3Y4	0.109
C0H3Y9	0.262
C0H3Z1	0.52
C0H3Z2	42.6
C0H3Z3	19.2
C0H3Z7	0.209
C0H405	38.2
C0H412	63.9
C0H415	5.21
C0H419	0.257
C0H423	151
C0H445	0.937
C0H447	24.1
C0H450	2.42
C0H454	1.36
C0H458	2.45
C0H464	0.302
C0SP78	6.69
C0SP80	3.4
C0SP82	68.8
C0SP84	8.68
C0SP85	6167
C0SP89	9.81
C0SP90	0.435
C0SP91	8.63
C0SP93	311
C0SP94	464
C0SP95	19.6
C0SP98	26
C0SP99	63.3
C0SPA0	4.45
C0SPA3	22.3
C0SPA5	3.41
C0SPB0	64.7
C0SPB1	104
C0SPB2	4.66
C0SPB3	0.622
C0SPB4	50.6
C0SPB6	313
C0SPB8	12.5
C0SPB9	5.27
C0SPC1	13.5
C0SPC3	14.8
O05215	3.22
O05216	6.45
O05217	12
O05218	6.04
O05219	2.79
O05220	35.4
O05223	4.18
O05224	5.37
O05227	14.8
O05228	6.6
O05229	4.27
O05231	4.11
O05234	20.1
O05235	3.99
O05236	281
O05239	322
O05240	46.1
O05241	7.11
O05242	3.57
O05243	30
O05245	13.4
O05246	0.309
O05248	124
O05249	25.2
O05250	16.7
O05251	91.4
O05252	613
O05253	53.2
O05254	19.9
O05255	4.35
O05256	329
O05257	11
O05259	0.288
O05261	6.31
O05262	2.56
O05263	8.18
O05264	5.84
O05265	89.1
O05267	9.39
O05268	769
O05269	100
O05272	6.23
O05389	30.5
O05390	4.5
O05391	7.27
O05392	53.4
O05393	7.79
O05394	37.1
O05395	10.4
O05396	20.4
O05398	81.8
O05399	3.44
O05400	5.34
O05401	7
O05402	3.66
O05403	4.2
O05404	13
O05405	28.4
O05406	3.12
O05407	3.93
O05408	6.09
O05409	3.3
O05410	282
O05411	850
O05412	4.08
O05413	30.8
O05493	12.9
O05494	31.4
O05495	1.57
O05496	32
O05497	80.2
O05500	2.34
O05501	45.7
O05502	3.22
O05503	81.5
O05505	20.8
O05506	12.8
O05507	13.5
O05508	13.1
O05509	22.7
O05510	6.45
O05511	8.9
O05512	23.8
O05514	9.53
O05515	123
O05516	44.8
O05517	12.2
O05518	36.3
O05519	31
O05520	27.7
O05521	17.3
O05522	35
O05523	23
O05524	5.65
O05525	18.3
O06005	1.9
O06006	700
O06008	3.91
O06010	19.2
O06011	11.3
O06012	16.2
O06473	5.48
O06474	18.3
O06475	23.8
O06476	74.7
O06477	269
O06478	210
O06480	13.3
O06481	34.6
O06483	7.67
O06484	14.2
O06485	3.15
O06486	3.6
O06489	8.54
O06490	4.46
O06491	417
O06492	384
O06493	10
O06714	30.3
O06715	15.7
O06717	1.11
O06719	5.22
O06720	0.174
O06721	0.378
O06722	15.5
O06723	7.9
O06724	69.5
O06725	44.9
O06727	1.73
O06728	6.73
O06730	9.93
O06733	9.24
O06734	5.68
O06735	10.7
O06736	31.2
O06737	5.96
O06738	2.91
O06739	2.58
O06740	10.6
O06741	8.48
O06743	12
O06744	82.2
O06745	281
O06746	631
O06747	64.8
O06748	89.6
O06751	11
O06752	2.41
O06753	4.47
