,kcat,MW,kcat_MW
PPAm_num1,0.014,67976.82620000007,0.7414291430981805
CAT_num1,157615.0,62362.88000000012,9098585.568851197
PDHam1hi,121.0,77021.76670000005,5655.544122957644
HXAD,6.42,70579.58220000027,327.4601418652194
R00026_num1,3.1,53288.2994,209.42683714166338
MALTly,207.29066666666668,63968.44320000019,11665.852140043917
PPBNGS,254.4625,289672.4600000001,3162.416613577969
RBFSb,1.073,70442.10660000006,54.83652017868524
HMBS,0.25,34837.956000000035,25.83389220653471
ADNCYC,5759.84635232689,22237.807300000015,932441.1615158115
NADK_num1,4.166666666666667,60023.93520000008,249.90030976842687
ADK1m,0.08455555111111111,24119.141800000005,12.620680558377078
DPCOAK,7.0812333333333335,22013.184000000005,1158.053282978055
UREA,3186.4445,86284.88200000016,132945.65553210097
HCO3E_num1,2907913.6363636362,21111.156100000007,495874742.30788743
NMNAT,14.133333333333333,44312.45000000002,1148.210040293416
NDPK2,194.85327777777778,67833.64719999998,10341.059768344583
FMNAT,0.4,35661.46460000001,40.37972125239073
METAT,0.976349785,176169.05680000025,19.951626521962485
ADMDC,75.4793545,13872.554799999985,19587.28439840081
NTD7_num1,12.676,159703.77129999976,285.7390256256276
NADS1n,0.31666666666666665,60789.670800000065,18.7531859442147
ADPT,6.095363636363636,37749.3834,581.2892056644583
AHCYSNS,5.436648666666667,25264.325399999998,774.6866338255761
PPS,429.1593125,97190.77100000068,15896.298682515742
PYK,2516.381395900537,248692.460400001,36426.40798467044
ME1_num1,90.28821428571429,45889.31060000009,7083.0781107566
MALDDH,103.98120746153846,38727.58720000003,9665.780233826139
ME2,177.70632352941178,43666.6820000001,14650.592520537304
SERD_L,311.5,54754.35679999999,20480.562014382027
SERD_D,17.532333333333334,49731.3579,1269.1469259076875
PTAr,366.3721052631579,34790.2476,37911.18689673736
ACS_num1,827.4769230769231,59324.20820000007,50214.18765563768
ACACT1x_num1,80.0,38398.33310000002,7500.325580539325
GLUDxi_num1,203.18571428571428,284037.8826000001,2575.250050214855
r0074_num1,5.998181818181818,56319.34310000006,383.4109802579449
GLNS,127.194,50277.66270000007,9107.392337074558
GLUNpp_num1,42.58533334,136048.09080000006,1126.8603559411354
ACGS,2.1999998,79428.0,99.712938510349
GLUR_num1,27.95,29998.070800000016,3354.2156984308454
R00264,1.374,209656.39320000028,23.59288893843278
r0082,21.026129032258066,92834.36740000012,815.3668370462655
OXGDC,0.275,128182.51360000041,7.723362354161207
GTHPe,5759.84635232689,18255.7297,1135832.2679578678
SPODMpp_num1,50519.8,33476.372900000024,5432825.131422762
UDPGD_num1,8.88748,49815.042000000016,642.2744359023122
UDPGPpp,12.676,51870.42330000005,879.7614728546075
GALUi_num1,104.56153846153846,66293.52540000003,5678.1041012722835
UDPG4E,4496.622911923077,74016.54980000008,218705.71550098187
FCLT,0.09999999999999999,45692.272800000035,7.878793895321391
ACKrh,494.38461538461536,86273.74540000009,20629.504458544274
ACYP_2,870.6944445305555,10317.564599999994,303802.3139985963
AMID_1,261.36285869565216,29398.94460000002,32004.76425620895
NDPK1,194.85327777777778,67833.64719999998,10341.059768344583
GK1,52.0,23218.104300000028,8062.673747227494
PPCK,26.93413793103448,58271.15030000011,1663.994893742881
MDHm_num1,541.7948,36470.17950000003,53480.989310732584
PC,5.78695,511739.8716000024,40.7101755328613
CS_num1,103.70476667142857,83456.14580000007,4473.453170385236
ASPTA_num1,23.25,86174.97420000014,971.2796641603156
ASPO1,0.33999999999999997,58238.64380000015,21.016972926144906
GLYOp,1.9853846153846153,163745.4200000002,43.649371172547035
AGTi,40.235708333333335,91484.36240000013,1583.3148551298184
ALAD_L,414.412,238098.65520000015,6265.819513960862
ALAR_num1,1190.0,43264.6397,99018.5063300088
SUCOAS,75.5012,145505.8832,1867.995396628746
MCITL2m,63.21666666666667,33096.62269999999,6876.230304912654
UAG2EMA,3.03025,42633.94730000005,255.87356299049483
UAGDP,31.30846153846154,148829.06430000003,757.3148569372651
UAG4Ei_num1,4496.622911923077,74016.54980000008,218705.71550098187
UAG2E,3.03025,42633.94730000005,255.87356299049483
GTPCII2,0.0425,44120.894599999956,3.4677447360734193
r0120_num1,0.0011,212191.72199999998,0.01866236798813481
GTPDPK_num1,15.121666666666666,98816.12360000006,550.9019987503332
DAPDC,18.235,97146.57160000007,675.7418086795351
LYSAM,41.5415,216292.9264000002,691.4206695943057
LYSDC_num1,0.5499999999999999,53163.181900000025,37.243820426782975
GLYCLTDym,132710.023125,36618.33260000003,13046909.821612129
DDPGA,76.783678125,62594.07689999991,4416.092623134448
GLYCTO1,4.256666666666667,100140.56480000017,153.0249008541639
ASPK_1_num1,10.83075,126584.0,308.0223408961638
ASPO6,0.33999999999999997,58238.64380000015,21.016972926144906
ASNN_num1,48.5,145817.0996000001,1197.3904328021615
ASP1DC,6.26,56588.0,398.24697815791336
ASPT,131.90357142857144,210015.23440000025,2261.040055020202
GTHRDH_syn_num1,521.165,64188.194000000156,29229.58075436731
ADSK_num1,43.2254,22304.142600000006,6976.795422748058
NTD4_num1,12.676,159703.77129999976,285.7390256256276
CYTK1m,91.2311111111111,25096.17880000003,13086.93258114656
CYTDK1,1.6020500000000002,24486.733400000016,235.53080379435164
UTCY,1.6020500000000002,24486.733400000016,235.53080379435164
CYTDK2,1.6020500000000002,24486.733400000016,235.53080379435164
FDH_num1,78.38033333333334,108774.15410000077,2594.083147183932
OXADCm_num1,43.0,43553.70740000003,3554.23244635197
NFORGLUAH_num1,0.12000000000000001,20655.354900000006,20.91467331795882
R00526_num1,0.12000000000000001,20655.354900000006,20.91467331795882
SADTn_num1,39.5642,43252.891700000015,3292.984917352935
RBFK_num1,0.4,35661.46460000001,40.37972125239073
ARGN,394.05667045454544,32153.457399999985,44119.79700933699
ARGDC_num1,0.5499999999999999,53582.81240000004,36.952147737583076
NDPK3,194.85327777777778,67833.64719999998,10341.059768344583
CTPS1,2.082535714285714,238869.5864000003,31.385864916575088
CTPS2,2.082535714285714,238869.5864000003,31.385864916575088
CBPS_num1,3.3582539523809523,303758.2458000018,39.80044787502311
ASNS1_num1,2.037777777777778,70713.38730000034,103.74273217710737
PSP_L,166.807695,22143.771800000013,27118.5824810568
SPTix,40.235708333333335,91484.36240000013,1583.3148551298184
SERAT,1026.58444,24142.477399999996,153078.90415587593
TMPK,0.063,35883.57210000003,6.3204409908789385
TMDPK,0.069,24098.281200000016,10.307789088293976
HCYSMT,249.949375,34735.93120000004,25904.523613289482
FMETDF_num1,0.12000000000000001,17775.194199999987,24.303531941158784
ENOm,107.5,372646.61279999994,1038.5174229604593
UAGCVT_num1,0.77,46700.23010000008,59.35730924803292
ORNTA,1.4555333333333333,43761.5464,119.73799902098524
ACODA_num1,1254.6363636363637,48554.70900000004,93022.71606840246
TRPS2,20.558813636363638,146057.55180000004,506.7299032387935
PHETA1_num1,309.9175864198889,80071.92900000006,13933.763368078706
LDH_Lm,108.94557142857143,139204.81,2817.4605255583992
MMSAD3,1.8809090909090909,213810.17280000026,31.669553597932076
P5CD_num1,5.998181818181818,56423.227700000105,382.7050565108757
ALDD2x_num1,1.374,53320.42750000009,92.76744827299052
SSALy,7.01,50261.31859999999,502.09586025464927
GLYCLTDx,132710.023125,36618.33260000003,13046909.821612129
NTP10,0.5668421052631579,43865.2722,46.52043579356538
NDPK9,194.85327777777778,67833.64719999998,10341.059768344583
TYRTA_num1,309.9175864198889,80071.92900000006,13933.763368078706
ALCD2x_num1,451.5241379310345,35810.83820000002,45390.92013075872
G6PDA_num1,48.666666666666664,27288.78720000001,6420.219363944468
GF6PTA,12.19958375,130673.83380000033,336.0925460197211
CYSDS,4207.556,169963.02160000041,89120.57138904126
SAGH,207.29066666666668,63968.44320000019,11665.852140043917
R00818,3.577861111111111,40977.14810000003,314.32885393993513
TRE6PH,38.5,65183.10600000022,2126.317822289713
MAL6PG,0.8781818181818182,202052.05360000033,15.646733052826246
CLB6PH_num1,25.360565217391304,48710.81210000003,1874.286854326714
GLYK,3285.0,220318.0712000003,53676.94050509636
G3PCT,18.8,30542.69199999999,2215.914694094418
SULR,307.99642857142857,132067.36710000032,8395.61783659682
HEX7_num1,1351.0428571428572,32439.655900000012,149932.36366956297
SBTD_D2,102.11249072222222,153559.15039999995,2393.898153528727
R00878,18.867636363636365,201124.4096000002,337.718783335043
CYSS_2_num1,129.7057142857143,33065.496400000025,14121.686418370877
AMPTASECGe,271.6517090909091,53657.00040000009,18225.881906124425
PTA2,366.3721052631579,34790.2476,37911.18689673736
MACCOAT_num1,80.0,41122.76369999998,7003.420346478321
MCITSm,18.301538461538463,42105.94940000001,1564.7560356764798
MMTSAO,1.8809090909090909,213810.17280000026,31.669553597932076
DHFR,55.85,19175.45399999999,10485.27977486218
THFGLUS,40.46104,48164.29200000009,3024.226827625738
FTHFLi,389.7131034482759,61369.75060000009,22860.890890011065
GHMT2r,34.82536217391304,90977.88060000008,1378.041596476659
METS_1,5759.84635232689,86805.30280000043,238873.04346085066
PGMTh,1.5664,96864.9172,58.21550426102053
ITCY,1.6020500000000002,24486.733400000016,235.53080379435164
NTD2_num1,12.676,159703.77129999976,285.7390256256276
URIK1,1.6020500000000002,24486.733400000016,235.53080379435164
OMPDC,120.18148148148148,51983.53660000001,8322.89146970684
UPPRT_num1,1.7009999999999998,40526.07339999999,151.1027219330852
UTUP,1.6020500000000002,24486.733400000016,235.53080379435164
URIK2,1.6020500000000002,24486.733400000016,235.53080379435164
URIK3,1.6020500000000002,24486.733400000016,235.53080379435164
ATNS_nh4,0.0045000000000000005,137916.20790000024,0.11746262637779481
ANS,0.0045000000000000005,137916.20790000024,0.11746262637779481
THRD_L,190.85,186803.35079999993,3677.9854165228403
SHSL4r,63.396523809523806,166819.82320000028,1368.1077064844014
CYSTGL,4.044559459459459,40885.099500000055,356.1300872963275
ALKP_num1,1193.8635483870967,50493.14910000007,85118.65175375926
TPI_num1,11085.09090909091,54058.6378,738204.4553243861
MGSA,243.63125,15128.189099999981,57976.040238682705
GPDDA1pp_num1,2.0446,27476.19950000002,267.88857753052764
ALCD19_num1,451.5241379310345,35810.83820000002,45390.92013075872
R01049,5759.84635232689,209207.13900000014,99114.4325546978
RBKr,16.708571428571428,62275.860600000095,965.8775738035654
ADPRDP,64.8,20979.7959,11119.269277543353
R01056,2429.302,16210.300699999989,539501.8489694028
R01057,105.95,44018.45640000008,8665.00171050976
GAPDHf,106.67274815789473,143328.63560000007,2679.310325957089
GAPDi_nadp,184.125,149902.61240000027,4421.870902631439
DRPA,107.5737,23260.284799999983,16649.208009697297
FBAf,5.414017542105263,30400.23550000002,641.1286896635697
ATPPRT,2.1366666666666667,67125.03980000006,114.59211082657703
ANPRT,1.1696190476190476,72044.89620000005,58.44450882043978
FUM,351.04137931034484,202124.41040000017,6252.332229522934
ADSL1r,1.5775000000000001,197936.86240000025,28.690967064657244
ARGSL,401.496,51928.932400000085,27833.917109376154
LLEUDr,53.72404761904762,39991.45309999999,4836.197648156262
LEUTAi_num1,18.805,39675.72160000001,1706.282766133735
GALKr,30.78983,43520.52740000008,2546.921984222089
DGGH,234.03354166666668,98526.11040000006,8551.243386950953
RAFGH,234.03354166666668,98526.11040000006,8551.243386950953
ACNMCT,14.281818181818181,37974.6281,1353.918340402271
IDIh,2151.6445714285715,297761.12,26013.87466954335
NTD11pp_num1,12.676,159703.77129999976,285.7390256256276
IMPC,4.6209999999999996,55752.78380000012,298.38151328328763
IMPD,5759.84635232689,211960.66240000026,97826.86387932698
HXPRT,4.297686666666666,20239.122099999986,764.4438293101662
GMPR,0.337,35849.495599999995,33.84148032476084
ADSS,0.47,95819.65620000006,17.65817231141348
NDPK8m,194.85327777777778,67833.64719999998,10341.059768344583
ALATA_D,228.0,62363.93560000013,13161.452883034506
ALAALAr,1.84700007,39130.08580000005,169.92552191132665
AGMT,1.516,32416.495800000033,168.35872802759866
R01163,5.091545454545455,46255.923400000094,396.2641384943922
HISDr,170.5,55674.03890000009,11024.887220819164
ACOAD1_num1,9.710525,41445.75870000004,843.4612152485452
PBUTT,608.3333333333334,31746.364600000015,68984.27670675713
ACACT2r_num1,80.0,41122.76369999998,7003.420346478321
BUTCT,290.0,47743.78820000002,21866.718988167755
INS2D_num1,58.0,153400.69000000035,1361.1412047755425
MI1PP,108.48764705882353,29759.312400000024,13123.808916087872
MI4PP,108.48764705882353,29759.312400000024,13123.808916087872
MI3PP,108.48764705882353,29759.312400000024,13123.808916087872
IPPS,2.521861111111111,227644.05640000032,39.88112030497093
VALTA_num1,18.805,39675.72160000001,1706.282766133735
MTHFD,389.7131034482759,61369.75060000009,22860.890890011065
GLYCL,6.005778823529411,257379.39930000016,84.00362975245264
MTHFR3_1,103.74561421052631,67926.7602000003,5498.3368860553
MOHMT,0.781,297580.6490000001,9.448195000072062
NTD9_num1,12.676,159703.77129999976,285.7390256256276
GUAPRT,4.297686666666666,20239.122099999986,764.4438293101662
GMPS2,88.30191666666667,115696.46860000011,2747.5938016659543
ADD_num1,42.42490151513636,62891.06890000022,2428.4790849609867
PRO1xm_num1,733.9939886666667,30202.258400000013,87489.42957192894
P5CR_num1,995.5918027272727,30202.258400000013,118670.94315762095
R01253,14.677777777777777,34451.29260000001,1533.7595780078216
NNAM_num1,15.64092857142857,20522.9616,2743.6265756664898
FACOAL160p_num1,3.3673125,56624.6375,214.08216520591412
CYSTL,4207.556,169963.02160000041,89120.57138904126
CYSTS,22.596166666666665,33018.29330000003,2463.6706464776585
RHCCE,124.901,35428.06979999999,12691.732926415318
4HBZFm,5759.84635232689,15995.16779999999,1296356.945275486
ACONTa,999.0,99332.77320000049,36205.57328807148
GCALDDm_num1,1.374,52820.45330000008,93.64554241718317
PPAKr,494.38461538461536,86273.74540000009,20629.504458544274
HMGL,79.058,65287.874399999986,4359.290337073679
BDH,281.053684,27511.413000000004,36777.21905450657
PPNDH,547.0506214285714,31901.001100000027,61734.18291700117
HPYRRx,12.616666666666667,38629.640900000006,1175.7810567687673
ASPCT_1,97.48194416666666,102669.94260000011,3418.088976315446
OCBTm,1190.9444444444443,34663.08870000001,123687.76588567534
MTAN,3.8924525,25264.325399999998,554.6488488467617
XYLI1,18.867636363636365,201124.4096000002,337.718783335043
VALDHr,53.72404761904762,39991.45309999999,4836.197648156262
LCADi,70.12666666666667,76019.47410000039,3320.938522514703
THRD,161.24854375,147985.75000000006,3922.639561579407
THRS_1,274.2119310886667,37463.44430000002,26350.031887463152
GPDDA2_num1,2.0446,27476.19950000002,267.88857753052764
GUI1,67.86666666666666,54611.52130000004,4473.781249525451
DHBS,3.4433333333333334,59927.64620000021,206.8494390490504
DHBD,17.339363636363636,27453.91730000001,2273.6904321813877
PGKm,647.8,42189.769600000065,55275.959601353126
PGCD,515.5,57128.79260000009,32484.495392608686
GLYCK,275.0,39399.22970000005,25127.394813000592
ACPh,870.6944445305555,10317.564599999994,303802.3139985963
R01519,660.0,33203.92670000002,71557.80162591429
R01520_num1,521000.0,111101.28040000005,16881893.649175256
RBK_Dr,58.98,61009.16250000009,3480.264132457148
GND_num1,25.767857142857142,103548.81420000012,895.8507775387504
RPEh,1332.4597777777778,23333.892100000005,205574.58564745824
DDGLK,11.94,35035.29680000003,1226.8770047924913
ATDAMh,0.08455555111111111,24119.141800000005,12.620680558377078
DATCY,1.6020500000000002,24486.733400000016,235.53080379435164
DATUP,1.6020500000000002,24486.733400000016,235.53080379435164
MPL,34.49633333333333,88278.2861000003,1406.764964368736
PUNP1_num1,7950.0,87378.8481,327539.2228476859
3NTD7l_num1,12.676,159703.77129999976,285.7390256256276
TMDK1,0.86,85800.66880000004,36.08363481660878
NTD5_num1,12.676,159703.77129999976,285.7390256256276
R01582,228.0,62363.93560000013,13161.452883034506
GLK1_3,129.54047571428572,33603.12650000003,13878.045323295384
ACOATA_num1,0.17085714285714285,111466.74330000003,5.518109671781485
R01625,0.4839212,49744.216699999946,35.02148461813053
MCOATA,6.527571428571428,34034.539899999996,690.4532046533452
XYLK,765.177,55416.6859000001,49707.72169542522
R01641,64521.705882352944,144687.10140000068,1605382.5042380006
ABTA,23.7028325,47248.4347,1805.9899241487465
R01654,40.46104,48164.29200000009,3024.226827625738
MTHFC_1,389.7131034482759,61369.75060000009,22860.890890011065
DMATT,7.893761928571428,32502.78240000001,874.3110849136759
DCMPDA,665.7333333333333,20968.8364,114295.32637299798
NTD3_num1,12.676,159703.77129999976,285.7390256256276
CYTK2,91.2311111111111,25096.17880000003,13086.93258114656
GUAD_1,59.83166666666666,17156.242199999993,12554.847238050772
LCGH_num1,81.0,232494.79470000084,1254.2216283864136
BUTKr,999.0,39762.92190000003,90446.06955808238
CHRS,0.43915,171221.13760000022,9.233322603505457
CHORM_num1,31.563333333333333,43550.469600000004,2609.1107867181295
ADCS,0.0045000000000000005,74935.19810000005,0.21618679086403844
ICHORS_num1,10.242083333333333,52811.07910000006,698.1773640751067
PPOR_1,39.026,41433.62860000006,3390.810912467362
R01731,309.9175864198889,80071.92900000006,13933.763368078706
GLYOX_num1,5759.84635232689,23224.955700000002,892808.8878282253
GNKh,9.4,57168.6641000001,591.9326703315417
HOXPRx,133.0,30711.067199999976,15590.470916621236
TARTDC,103.98120746153846,38727.58720000003,9665.780233826139
r0393_num1,1.374,53320.42750000009,92.76744827299052
ARAI,241.7,56121.220500000054,15504.295741394277
HXAND,5.9187,166134.5548000005,128.25339090745217
HSK,11.781818181818181,33323.999899999995,1272.792749424581
HSDxi,32.79856,47493.871700000076,2486.106349590358
HSDy,32.79856,47493.871700000076,2486.106349590358
HSST,14.433428571428571,35369.95350000002,1469.0531854146438
