Entry	Entry name	Protein names	Gene names	Organism	EC number	Mass	Cross-reference (PDB)	Gene ID
P40735	ECFA1_BACSU	Energy-coupling factor transporter ATP-binding protein EcfA1 (ECF transporter A component EcfA) (EC 7.-.-.-)	ecfA cbiO1 ybaD ybxA BSU01450	Bacillus subtilis (strain 168)	7.-.-.-	31,459		P40735
O31614	PRPE_BACSU	Bis(5'-nucleosyl)-tetraphosphatase PrpE [asymmetrical] (EC 3.6.1.17) (Ap4A hydrolase) (Diadenosine 5',5'''-P1,P4-tetraphosphate asymmetrical hydrolase) (Diadenosine tetraphosphatase)	prpE yjbP BSU11630	Bacillus subtilis (strain 168)	3.6.1.17	27,463		O31614
P45913	YQAP_BACSU	Uncharacterized protein YqaP	yqaP BSU26230	Bacillus subtilis (strain 168)		34,780		P45913
O07603	YHFE_BACSU	Putative aminopeptidase YhfE (EC 3.4.11.-)	yhfE BSU10200	Bacillus subtilis (strain 168)	3.4.11.-	38,736		O07603
P39642	BACE_BACSU	Putative bacilysin exporter BacE	bacE ywfF BSU37700 ipa-84d	Bacillus subtilis (strain 168)		43,417		P39642
P54721	CADE_BACSU	Catechol-2,3-dioxygenase (EC 1.13.11.2) (Catechol-induced ring cleavage extradiol dioxygenase)	catE yfiE BSU08240	Bacillus subtilis (strain 168)	1.13.11.2	31,565		P54721
P80860	G6PI_BACSU	Glucose-6-phosphate isomerase (GPI) (EC 5.3.1.9) (Phosphoglucose isomerase) (PGI) (Phosphohexose isomerase) (PHI) (Vegetative protein 54) (VEG54)	pgi yugL BSU31350	Bacillus subtilis (strain 168)	5.3.1.9	50,543		P80860
Q45061	YNEP_BACSU	Putative acyl-CoA thioesterase YneP (EC 3.1.2.-)	yneP BSU18040	Bacillus subtilis (strain 168)	3.1.2.-	15,995		Q45061
P42415	IOLD_BACSU	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase (THcHDO hydrolase) (EC 3.7.1.22)	iolD yxdD BSU39730 E83D	Bacillus subtilis (strain 168)	3.7.1.22	70,380		P42415
O32207	YVGK_BACSU	Uncharacterized protein YvgK	yvgK yvsE BSU33370	Bacillus subtilis (strain 168)		34,160		O32207
